"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2020","55.40","54.90","55.50","54.90","384.92K","0.73%"
"12/08/2020","55.00","55.00","55.50","54.90","416.69K","-0.72%"
"12/07/2020","55.40","54.90","55.40","54.30","477.93K","0.36%"
"12/06/2020","55.20","56.00","56.50","55.20","1.52M","-0.54%"
"12/03/2020","55.50","55.30","56.00","54.70","943.62K","0.54%"
"12/02/2020","55.20","55.50","55.80","54.70","459.38K","-1.25%"
"12/01/2020","55.90","55.40","55.90","55.30","540.85K","0.00%"
"11/30/2020","55.90","54.80","55.90","54.50","1.60M","2.01%"
"11/29/2020","54.80","54.00","55.00","54.00","748.73K","0.92%"
"11/26/2020","54.30","54.00","54.30","53.60","400.30K","0.18%"
"11/25/2020","54.20","54.30","54.60","54.00","280.37K","0.56%"
"11/24/2020","53.90","54.00","54.30","53.90","283.54K","-0.19%"
"11/23/2020","54.00","54.00","54.30","53.90","247.86K","-0.18%"
"11/22/2020","54.10","54.70","54.90","54.10","361.20K","-1.10%"
"11/19/2020","54.70","54.20","54.80","54.20","531.15K","0.37%"
"11/18/2020","54.50","54.20","54.50","54.00","276.17K","0.55%"
"11/17/2020","54.20","54.10","54.50","53.90","363.09K","0.56%"
"11/16/2020","53.90","54.70","54.90","53.90","447.29K","-1.28%"
"11/15/2020","54.60","54.00","54.60","53.90","299.23K","1.30%"
"11/12/2020","53.90","54.30","54.30","53.70","236.53K","-0.37%"
"11/11/2020","54.10","54.60","54.90","54.00","352.51K","-0.73%"
"11/10/2020","54.50","55.00","55.20","54.50","840.04K","-0.73%"
"11/09/2020","54.90","54.00","54.90","54.00","539.50K","1.67%"
"11/08/2020","54.00","53.40","54.10","53.20","313.12K","1.12%"
"11/05/2020","53.40","53.00","53.40","52.50","420.31K","0.95%"
"11/04/2020","52.90","52.20","53.20","51.70","517.41K","2.32%"
"11/03/2020","51.70","52.00","52.20","51.50","422.74K","0.19%"
"11/02/2020","51.60","51.10","52.10","51.00","636.79K","1.18%"
"11/01/2020","51.00","51.50","52.00","50.90","367.94K","-1.16%"
"10/29/2020","51.60","53.00","53.10","51.60","828.11K","-3.55%"
"10/28/2020","53.50","54.00","54.20","53.20","327.08K","-0.93%"
"10/27/2020","54.00","53.90","54.00","53.10","609.19K","0.00%"
"10/26/2020","54.00","53.50","55.00","52.90","1.48M","-0.37%"
"10/25/2020","54.20","57.00","57.00","54.00","733.33K","-5.24%"
"10/22/2020","57.20","56.50","57.40","56.40","1.32M","1.24%"
"10/21/2020","56.50","58.00","58.10","56.50","1.05M","-2.25%"
"10/20/2020","57.80","57.50","58.00","56.30","2.23M","-0.34%"
"10/19/2020","58.00","57.30","58.40","56.80","3.08M","1.40%"
"10/18/2020","57.20","55.60","57.40","55.60","5.58M","3.44%"
"10/15/2020","55.30","54.80","55.50","54.60","1.45M","0.55%"
"10/14/2020","55.00","55.00","55.20","54.60","567.42K","0.73%"
"10/13/2020","54.60","54.20","55.20","54.00","1.89M","0.74%"
"10/12/2020","54.20","54.10","54.20","53.90","729.65K","0.18%"
"10/11/2020","54.10","53.70","54.20","53.30","969.77K","0.74%"
"10/08/2020","53.70","53.70","53.70","53.30","527.83K","0.00%"
"10/07/2020","53.70","53.90","53.90","53.50","361.10K","-0.19%"
"10/06/2020","53.80","53.70","53.80","53.40","326.66K","0.19%"
"10/05/2020","53.70","54.00","54.00","53.00","715.85K","0.37%"
"10/04/2020","53.50","53.70","54.30","53.20","654.81K","-0.19%"
"10/01/2020","53.60","53.00","54.00","52.90","681.76K","1.32%"
"09/30/2020","52.90","53.40","53.50","52.80","676.01K","-0.38%"
"09/29/2020","53.10","53.90","54.00","53.10","901.31K","-1.30%"
"09/28/2020","53.80","54.00","54.30","53.80","407.64K","-0.19%"
"09/27/2020","53.90","54.10","54.20","53.70","212.20K","-0.19%"
"09/24/2020","54.00","53.90","54.30","53.50","396.55K","0.37%"
"09/22/2020","53.80","54.00","54.40","53.80","474.49K","-1.10%"
"09/21/2020","54.40","55.00","55.00","54.40","351.95K","-1.09%"
"09/20/2020","55.00","55.20","55.20","54.80","317.27K","-0.36%"
"09/17/2020","55.20","55.00","55.20","54.40","853.97K","1.10%"
"09/16/2020","54.60","54.90","55.10","54.20","555.70K","0.00%"
"09/15/2020","54.60","55.10","55.30","54.60","527.88K","-1.44%"
"09/14/2020","55.40","55.00","55.60","54.20","1.47M","0.73%"
"09/13/2020","55.00","54.80","55.20","54.70","832.48K","0.18%"
"09/10/2020","54.90","54.80","54.90","54.50","622.23K","0.18%"
"09/09/2020","54.80","54.40","54.90","54.30","440.57K","-0.18%"
"09/08/2020","54.90","54.30","55.20","54.10","1.05M","1.48%"
"09/07/2020","54.10","53.70","54.40","53.70","515.46K","0.74%"
"09/06/2020","53.70","53.70","54.20","53.40","408.76K","-0.56%"
"09/03/2020","54.00","53.60","54.00","53.40","595.62K","1.31%"
"09/02/2020","53.30","53.70","53.70","52.90","613.61K","0.00%"
"09/01/2020","53.30","54.00","54.50","53.10","1.14M","-0.74%"
"08/31/2020","53.70","55.20","55.20","53.70","1.08M","-2.72%"
"08/30/2020","55.20","54.40","55.20","54.00","382.72K","0.91%"
"08/27/2020","54.70","54.90","55.00","54.50","541.96K","0.18%"
"08/26/2020","54.60","55.00","55.50","54.50","654.40K","-0.73%"
"08/25/2020","55.00","55.70","56.00","55.00","1.29M","-1.26%"
"08/24/2020","55.70","56.40","56.60","55.40","2.24M","-0.71%"
